Table of contents,,,,,,,,,,,,,,,,,,,,,,,
"Table CLIENTLOC.1: Clients, by Statistical Area Level 4 (SA4)(locality/suburb in the week before), by client characteristics at first presentation, 2019–20",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Clients,,,Homeless,,,At Risk,,,Age group (%),,,,,,,,,,Sex (%),
State/territory,Region Code,Region Name,Number,"Rate per 10,000 ERP(b)",,Number,Per cent,,Number,Per cent,,0–9,10–14,15–17,18–24,25–34,35–44,45–54,55–64,65+,,Males,Females
Tas,602,Launceston and North East,"1,704",116.5,,945,56.0,,744,44.0,,5.8,2.5,7.3,21.5,20.0,18.0,14.1,6.9,3.9,,43.1,56.9
Tas,603,South East,325,82.7,,188,58.2,,135,41.8,,9.5,4.9,12.3,16.0,15.7,17.8,12.9,5.2,5.5,,41.8,58.2
Tas,604,West and North West,"1,371",121.6,,798,59.1,,552,40.9,,12.1,4.4,7.0,20.3,19.3,16.3,12.9,4.4,3.3,,42.5,57.5
NT,701,Darwin,"2,624",178.2,,879,34.3,,"1,685",65.7,,19.2,7.2,6.0,15.4,18.0,16.6,9.9,5.4,2.2,,38.2,61.8
NT,702,Northern Territory - Outback,"5,683",575.9,,"1,517",29.6,,"3,605",70.4,,20.0,12.0,8.0,11.1,16.5,14.7,10.4,5.5,1.9,,34.0,66.0
ACT,801,Australian Capital Territory,"3,081",72.2,,"1,480",48.9,,"1,549",51.1,,18.2,5.2,6.9,14.5,19.4,17.5,10.8,4.9,2.6,,42.3,57.7
Unknown,-1,Unknown(c),"30,372",,,,,,,,,,,,,,,,,,,,
All clients,,All clients,"290,462",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"(a)  'Homeless' status is derived for a client based on the client's housing circumstances at the beginning of their first support period within the reference year. All other clients not meeting these criteria are considered to be at risk of homelessness (excluding clients who did not provide sufficient information to make this assessment). Housing circumstances are determined based on the client's type of residence, tenure and conditions of occupancy.",,,,,,,,,,,,,,,,,,,,,,,
"(b)  Rates are crude rates based on the Australian estimated resident population at 30 June of the reference year, as detailed in the online technical information.",,,,,,,,,,,,,,,,,,,,,,,
(c) Includes clients from 'Other territories' and those that have not provided location information.,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,
1.    Data presented have not been adjusted for partial or non-response (unweighted).,,,,,,,,,,,,,,,,,,,,,,,
"2.    Clients are assigned to a region based on where they lived in the week before presenting to a SHS agency. Clients are assigned to only one region, based on the location details provided in the first support period in the reference year. Regions are defined by the 2016 Australian Statistical Geography Standard (ASGS).",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
