Table of contents,,,,,,,,,,,
"SHS clients, by state/territory, age group and sex, July 2017 to June 2021",,,,,,,,,,,
,,,,,,,,,,,
Month,Sex,Age group,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,National
FEB21,Male,65+ years,271,471,136,85,68,55,27,65,"1,177"
FEB21,Male,All Males,"9,788","12,229","5,303","2,310","2,466","1,130",811,"1,205","35,161"
FEB21,Total,0–4 years,"2,446","2,341","1,482",550,536,102,183,313,"7,942"
FEB21,Total,5–9 years,"1,897","2,166","1,226",469,425,94,158,293,"6,716"
FEB21,Total,10–14 years,"1,862","1,841","1,016",425,392,85,117,331,"6,062"
FEB21,Total,15–17 years,"1,802","1,345",783,383,428,167,116,180,"5,195"
FEB21,Total,18–19 years,"1,573","1,302",631,298,360,173,89,135,"4,552"
FEB21,Total,20–24 years,"3,078","3,180","1,263",606,837,334,188,263,"9,725"
FEB21,Total,25–29 years,"1,824","3,056","1,042",572,555,255,161,240,"7,674"
FEB21,Total,30–34 years,"1,755","3,420","1,086",627,629,261,190,259,"8,195"
FEB21,Total,35–39 years,"1,884","3,417","1,149",664,625,258,179,284,"8,432"
FEB21,Total,40–44 years,"1,695","3,050",963,595,508,224,160,230,"7,401"
FEB21,Total,45–49 years,"1,557","2,526",858,449,384,217,133,211,"6,316"
FEB21,Total,50–54 years,"1,147","1,812",603,395,288,141,78,202,"4,653"
FEB21,Total,55–59 years,728,"1,158",386,246,177,111,65,147,"3,013"
FEB21,Total,60–64 years,466,717,220,149,92,67,32,103,"1,842"
FEB21,Total,65+ years,588,"1,068",276,188,122,110,40,118,"2,508"
FEB21,Total,All Ages,"24,302","32,399","12,984","6,616","6,358","2,599","1,889","3,309","90,226"
JAN21,Female,0–4 years,"1,087","1,139",684,312,223,55,97,151,"3,741"
JAN21,Female,5–9 years,835,"1,069",585,222,197,43,80,162,"3,190"
JAN21,Female,10–14 years,913,890,489,198,182,44,62,187,"2,961"
JAN21,Female,15–17 years,"1,010",752,463,217,234,97,64,129,"2,962"
JAN21,Female,18–19 years,973,782,388,216,207,121,53,110,"2,847"
JAN21,Female,20–24 years,"1,960","2,127",869,459,512,205,132,202,"6,448"
JAN21,Female,25–29 years,"1,264","2,208",756,454,375,160,104,191,"5,495"
JAN21,Female,30–34 years,"1,224","2,322",734,505,450,154,124,206,"5,696"
JAN21,Female,35–39 years,"1,162","2,303",683,523,411,149,111,225,"5,550"
JAN21,Female,40–44 years,999,"1,898",568,403,306,86,92,160,"4,496"
JAN21,Female,45–49 years,857,"1,492",465,307,216,100,65,155,"3,650"
JAN21,Female,50–54 years,594,"1,047",290,202,142,59,30,99,"2,456"
JAN21,Female,55–59 years,373,639,169,128,86,44,22,75,"1,532"
JAN21,Female,60–64 years,218,373,116,98,44,26,7,54,934
JAN21,Female,65+ years,303,588,118,101,45,49,12,50,"1,266"
JAN21,Female,All Females,"13,772","19,629","7,377","4,345","3,630","1,392","1,055","2,156","53,224"
JAN21,Male,0–4 years,"1,219","1,157",767,304,276,50,98,160,"4,025"
JAN21,Male,5–9 years,947,"1,045",598,277,189,58,76,157,"3,340"
JAN21,Male,10–14 years,797,883,493,217,165,44,54,167,"2,817"
JAN21,Male,15–17 years,670,560,291,124,151,55,50,78,"1,978"
JAN21,Male,18–19 years,553,482,236,95,139,65,35,45,"1,648"
JAN21,Male,20–24 years,"1,026","1,069",373,173,248,120,57,62,"3,124"
JAN21,Male,25–29 years,472,851,265,117,133,89,47,49,"2,016"
JAN21,Male,30–34 years,478,992,299,125,170,89,56,44,"2,245"
JAN21,Male,35–39 years,605,"1,048",387,178,209,105,58,80,"2,664"
JAN21,Male,40–44 years,622,"1,044",397,174,181,125,65,86,"2,685"
JAN21,Male,45–49 years,623,"1,036",370,166,162,108,68,69,"2,596"
JAN21,Male,50–54 years,513,730,285,155,120,85,49,87,"2,017"
JAN21,Male,55–59 years,323,500,191,113,84,63,36,69,"1,378"
JAN21,Male,60–64 years,198,303,105,67,40,40,18,51,821
JAN21,Male,65+ years,245,464,138,94,63,48,26,64,"1,141"
JAN21,Male,All Males,"9,291","12,164","5,195","2,379","2,330","1,144",793,"1,268","34,495"
JAN21,Total,0–4 years,"2,306","2,296","1,451",616,499,105,195,311,"7,766"
JAN21,Total,5–9 years,"1,782","2,114","1,183",499,386,101,156,319,"6,530"
JAN21,Total,10–14 years,"1,710","1,773",982,415,347,88,116,354,"5,778"
JAN21,Total,15–17 years,"1,680","1,312",754,341,385,152,114,207,"4,940"
JAN21,Total,18–19 years,"1,526","1,264",624,311,346,186,88,155,"4,495"
JAN21,Total,20–24 years,"2,986","3,196","1,242",632,760,325,189,264,"9,572"
JAN21,Total,25–29 years,"1,736","3,059","1,021",571,508,249,151,240,"7,511"
JAN21,Total,30–34 years,"1,702","3,314","1,033",630,620,243,180,250,"7,941"
JAN21,Total,35–39 years,"1,767","3,351","1,070",701,620,254,169,305,"8,214"
JAN21,Total,40–44 years,"1,621","2,942",965,577,487,211,157,246,"7,181"
JAN21,Total,45–49 years,"1,480","2,528",835,473,378,208,133,224,"6,246"
JAN21,Total,50–54 years,"1,107","1,777",575,357,262,144,79,186,"4,473"
JAN21,Total,55–59 years,696,"1,139",360,241,170,107,58,144,"2,910"
JAN21,Total,60–64 years,416,676,221,165,84,66,25,105,"1,755"
JAN21,Total,65+ years,548,"1,052",256,195,108,97,38,114,"2,407"
